permno,rp_entity_id
71563,1A3E1B
72726,5BC2F4
73139,C81E00
75034,940C3D
75154,067779
75175,1CB9D3
75186,D33D8C
75241,2920D5
75510,C9881C
75573,B66928
75591,E8B21D
75607,89F693
75694,85DE00
75789,CD4203
75819,7999F3
75825,A43906
75828,DB06B0
75912,D437C3
76076,12DE76
76082,388E00
76095,C951A2
76185,442769
76226,3C7F5F
76230,D4AC65
76282,88350F
76605,ECF709
76614,589803
76644,4E2D94
76708,7B492C
76709,B7EB38
76712,9C8BC3
76744,57CAAB
76757,966DBE
76795,070B45
76804,E28F22
76841,CEDFD5
77037,119CB6
77129,159AE4
77157,A62FD6
77178,CFF15D
77182,0A9D0A
77274,F6E248
77338,5E6959
77357,7E1D5D
77462,C5C137
77496,69E8E1
77605,C97B2D
77606,0F0440
77649,LIVBLM
77661,06EF42
77702,3CBA2A
77730,AD1ACF
78034,4E4E75
78840,4B3676
78927,CDAF5B
78975,F11638
78987,CDFCC9
79057,DE27F9
79089,C9E04B
79094,26CC63
79103,6E1E61
79108,6D4636
79145,751A74
79237,2DBC3B
79323,E1C16B
79452,DC5299
79545,1791E7
79547,AE4EEB
79637,7448A3
79698,F57F6F
79782,B5DE80
79785,C29715
79879,E592F0
79881,E20BFE
79906,6CC55E
80080,D4070C
80100,900356
80183,8EF425
80191,8E82A6
80204,D6534D
80286,FC1F9D
80320,8B4A45
80381,2FEA66
80399,A806FA
80539,649CBD
80563,2EB88B
80681,F67165
80711,250BEE
81045,003B70
81055,055018
81061,4A5C8D
81481,143C52
81540,7D85A9
81593,35557B
81655,9BBFA5
81677,945DE6
81736,434F38
81774,D4463B
82276,61BCA7
82303,F1FA25
82307,EFD406
82515,5DE5A5
82581,A7102F
82598,934CC3
82642,14ED2B
82651,1F9D90
82775,766047
83143,6284B5
83443,168A5D
83462,2B0AF4
83597,12A3A3
83601,05AF14
83621,2158DF
83906,C9A96E
83976,0624BE
84032,5D02B7
84129,4D371E
84176,BDE867
84262,20BEEA
84372,2EC172
84373,5F9CE3
84381,416C55
84519,0E431C
84761,A01664
84767,56EA2B
84769,BB07E4
84788,0157B1
85035,7C62A3
85058,420168
85072,D69D42
85257,35F4B5
85265,53F491
85269,641F17
85348,B4C673
85459,C659EB
85592,8C5519
85593,30E01D
85621,6B0784
85631,64E346
85663,32CB22
85753,A5B913
85792,253B2F
85913,385DD4
85914,5E7E82
85926,D8DA3D
86102,73C9E2
86111,A80FE0
86136,B642E8
86158,07EC43
86228,D96202
86288,ED0402
86339,275300
86356,972356
86580,E09E2B
86783,034B61
86799,EC70EC
86868,50070E
86964,41B0E2
86979,EC99D0
86996,1E169E
87055,B8EF97
87137,14BA06
87267,D5AF19
87299,BB5271
87432,ED79D9
87445,9D30A8
87447,FAE021
87541,B6082A
87657,6137BF
87717,F5C8AB
87842,810E30
88031,D09938
88182,790C34
88281,B13B68
88319,0F04E5
88352,18EC17
88436,B09F19
88446,E6D89E
88661,BB0787
88664,D60BB2
88837,D21EF3
88853,D6853F
88860,221AD7
88873,1D9E55
89002,EF1AD9
89003,7B0BA6
89006,7A10FF
89017,2DBF98
89031,D2AC74
89070,56277A
89071,91B8B1
89138,U8X3QM
89179,7AB859
89195,59B229
89216,66A667
89217,F39E1E
89258,FEC475
89269,F5D410
89301,D42DBA
89393,ECD263
89508,AA7FE0
89525,C83B88
89533,9E91C6
89617,315EB0
89626,5DD486
89641,808319
89781,1F716B
89866,A5151E
90038,DD682D
90071,FD39EB
90090,5225A4
90162,EB36DE
90199,51D876
90215,BB127B
90248,24D81E
90305,4FB770
90319,4A6F00
90373,1490F3
90386,9C5BA5
90454,60DD84
90455,6ABCB8
90505,C9B932
90520,370C50
90601,25102A
90664,B840EF
90720,B2256A
90808,39692D
90829,61E975
90880,9A02C4
90979,41EC04
90993,9F71E5
91041,9C25FF
91068,A63820
91103,6E705B
91152,9F18FA
91233,55C9B5
91392,0F90E1
91416,3F6A9C
91461,A16DEA
91547,504FE2
91556,8C6C1B
91611,061366
91668,A23747
91849,24C48B
91926,5F2FF7
91937,57DDB9
92050,9C5174
92108,C08256
92121,A8CBDA
92157,60F8A4
92203,97693A
92293,793C11
92322,CF7292
92402,3ED92D
92602,CA1620
92611,93D207
92614,6DBBBC
92655,205AD5
93002,09DE1F
93089,2E0496
93096,DC2B00
93132,63F892
93246,304C94
93429,F1529C
93436,DD3BB1
