permno,rp_entity_id
13105,FC1A6E
13108,25AB8E
13111,03C2E7
13116,1279ED
13124,A0843E
13126,A95BCB
13132,FA71E8
13142,467C65
13145,88DFD3
13159,25D3CE
13168,D82EF3
13180,C3BDBB
13181,279916
13188,CEC5B9
13196,629F0F
13198,16293D
13202,2BDC1C
13209,816A83
13210,88923D
13222,732FAE
13244,D20C8F
13249,B8F5C8
13253,F6DE54
13254,D6EC8B
13255,0FC920
13260,73BCBA
13278,49914B
13279,C2EA92
13284,9EA947
13286,D9B7A5
13302,513A86
13303,D90441
13305,37020C
13310,32FBE9
13315,82E6EC
13318,943239
13319,35A64A
13321,E4481F
13323,C44D01
13324,C93C44
13325,F4F82F
13326,5F1B7B
13328,FBD92D
13332,2DDB22
13337,93475C
13343,52BF94
13350,A733DD
13353,B5A6BF
13356,3FACA7
13366,972C33
13369,766804
13376,81DBC6
13380,8928CC
13382,634B55
13388,F29447
13393,51CE18
13395,A1BBD4
13399,AA3AB8
13401,633043
13403,E595CF
13405,4AC574
13407,12E454
13410,931E75
13411,E1E4E4
13412,371283
13429,270B78
13431,10961D
13439,D9164D
13447,BB88B6
13452,00D6B5
13455,F0EC7C
13508,3159AA
13511,A52B6B
13519,94AFD3
13520,C8A059
13521,141223
13527,C5D687
13528,449217
13534,735388
13536,1B647C
13543,2DA651
13544,B1B2C8
13545,C9199D
13547,FC6998
13548,BB02FB
13556,344D63
13559,8B8111
13561,D83EBD
13563,D5941D
13577,E69BA5
13579,8DAAB9
13583,2AC0C1
13584,7FA446
13586,322A44
13597,D86B04
13599,6182E5
13600,CDE51C
13604,CA3CB9
13610,C16A8F
13615,1A8D5C
13618,190100
13621,1CD09C
13622,B5BA39
13625,CC176E
13628,4B7006
13631,4E198E
13633,10BB01
13634,E0C874
13641,E15736
13643,83B1C8
13647,683A14
13649,58A15E
13650,92CC92
13652,80A3B6
13680,C89E05
13681,27B90F
13687,A6FB29
13688,652E62
13691,39E412
13692,5E83CF
13693,BF93F8
13694,954A47
13698,A52633
13700,0DCF30
13701,878396
13704,C85A72
13706,58BED9
